收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各团队培训课","3594167410","RMUC 2025 青工会 上海交通大学 交龙战队 冠军队伍分享",BV1Dt4ZzYER9,9243,0,25:22,https://www.bilibili.com/video/BV1Dt4ZzYER9
"2、汇丨各团队培训课","3594167410","RMUC 2025 青工会 中国科学技术大学 RoboWalker 战队 哨兵导航决策方案分享",BV1E44RzqEoy,7314,1,18:50,https://www.bilibili.com/video/BV1E44RzqEoy
"2、汇丨各团队培训课","3594167410","【SCURM】火锅战队视导组 导航方向第一次培训（通识概念扫盲）",BV1HDg3z5EGT,4118,0,01:07:49,https://www.bilibili.com/video/BV1HDg3z5EGT
"2、汇丨各团队培训课","3594167410","【RM2026】机械培训2机器人学基础",BV1Kh8bzSEyz,784,1,24:07,https://www.bilibili.com/video/BV1Kh8bzSEyz
"2、汇丨各团队培训课","3594167410","robocon培训会",BV1Yh411B731,1.3万,10,03:04:44,https://www.bilibili.com/video/BV1Yh411B731
"2、汇丨各团队培训课","3594167410","RM机器人结构介绍",BV1da8tzFETa,1.4万,0,09:02,https://www.bilibili.com/video/BV1da8tzFETa
"2、汇丨各团队培训课","3594167410","【小车队入门·从零开始手搓FSAE赛车】紧固件专题1",BV1Hx8uzHE7g,2149,1,01:55:55,https://www.bilibili.com/video/BV1Hx8uzHE7g
"2、汇丨各团队培训课","3594167410","[青大未来RM]机械组培训-轴系",BV1irgGzuEHp,1.2万,2,12:51,https://www.bilibili.com/video/BV1irgGzuEHp
"2、汇丨各团队培训课","3594167410","[青大未来RM]机械组培训-概论",BV1T9MXziEXw,4088,2,11:45,https://www.bilibili.com/video/BV1T9MXziEXw
"2、汇丨各团队培训课","3594167410","4_电机控制进阶",BV1Zq3Tz8Egb,844,0,38:39,https://www.bilibili.com/video/BV1Zq3Tz8Egb
"2、汇丨各团队培训课","3594167410","2025SRC夏令营电控培训——机器人嵌入式架构、通信、无刷直流电机控制与力度标定",BV18PKfzjE9t,1118,0,01:58:36,https://www.bilibili.com/video/BV18PKfzjE9t
"2、汇丨各团队培训课","3594167410","24级暑假电控培训——CAN通信",BV1rg3JzqEbN,1482,1,24:48,https://www.bilibili.com/video/BV1rg3JzqEbN
