收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各类课程","3197396810","【卓里奇】数学分析教程（下）（袁亚湘主讲）",BV1wp4y1q7sL,11.9万,917,69:58:06,https://www.bilibili.com/video/BV1wp4y1q7sL
"2、汇丨各类课程","3197396810","【建议收藏】考研数学武忠祥 高等数学0基础课",BV1gA411j7Ta,2524.4万,25.9万,31:29:14,https://www.bilibili.com/video/BV1gA411j7Ta
"2、汇丨各类课程","3197396810","MATLAB教程_台大郭彦甫（14课）原视频补档",BV1GJ41137UH,352.8万,8.6万,15:43:55,https://www.bilibili.com/video/BV1GJ41137UH
"2、汇丨各类课程","3197396810","SOLIDWORKS 教学 精品教程 | 2024年新修 | B站 点赞 播放 收藏 NO.1",BV1iw411Z7HZ,1344.1万,9.8万,11:19:09,https://www.bilibili.com/video/BV1iw411Z7HZ
"2、汇丨各类课程","3197396810","【快速入门】数学建模+MATLAB+论文写作+模型与算法（小白零基础赛前突击，北海主讲）",BV1Rq4y1S7S8,272.5万,1.4万,09:52:35,https://www.bilibili.com/video/BV1Rq4y1S7S8
"2、汇丨各类课程","3197396810","LTspice电路仿真从入门到精通、LTspice视频教程、LTspice中文教程",BV1Sy4y1m73e,47.9万,1735,08:36:14,https://www.bilibili.com/video/BV1Sy4y1m73e
"2、汇丨各类课程","3197396810","【电路仿真】Multisim仿真入门（北京邮电大学 邓钢主讲）",BV1M7411A7cE,50.6万,2146,01:03:18,https://www.bilibili.com/video/BV1M7411A7cE
"2、汇丨各类课程","3197396810","EXCEL教程 | 拜托三连了！全B站最用心（没有之一）的EXCEL免费课程！OFFICE/WPS/表格/EXCEL函数/EXCEL技巧/数据分析/办公软件",BV1Gq4y1M716,1211.6万,8.7万,06:47:42,https://www.bilibili.com/video/BV1Gq4y1M716
"2、汇丨各类课程","3197396810","Matlab simulink建模与仿真视频教程",BV1L7411a7uL,161.4万,9344,20:11:22,https://www.bilibili.com/video/BV1L7411a7uL
"2、汇丨各类课程","3197396810","Robomaster哨兵motion planning仿真效果演示",BV1rtp2eSErw,3844,1,01:09,https://www.bilibili.com/video/BV1rtp2eSErw
"2、汇丨各类课程","3197396810","【科学】无人机设计CATIA建模解说",BV11V411h7g8,5.0万,71,03:34:31,https://www.bilibili.com/video/BV11V411h7g8
"2、汇丨各类课程","3197396810","别再盲目学习！对比学习与多模态任务深度实战，看完这视频让你效率提升200%",BV1JxKPzCEwY,178,0,10:19:13,https://www.bilibili.com/video/BV1JxKPzCEwY
"2、汇丨各类课程","3197396810","从公式推导到机器人实战！手把手拆解激光SLAM核心理论，小白也能掌握建图定位黑科技！",BV1is7SzcEak,1.1万,8,14:44:36,https://www.bilibili.com/video/BV1is7SzcEak
