收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨实验室项目","3608268410","[无领航者无人机编队控制] Leadearless Formation Control for UAV Swarms",BV17stBzZEHf,2757,1,03:12,https://www.bilibili.com/video/BV17stBzZEHf
"2、汇丨实验室项目","3608268410","A2RL X DCL 自主无人机竞速全球挑战赛-阿布扎比-中科大自主智能系统实验室",BV12jLCzsEr3,1397,0,00:39,https://www.bilibili.com/video/BV12jLCzsEr3
"2、汇丨实验室项目","3608268410","港大最新Nature Communications 在茂密植被中执行边坡检查的激光雷达无人机",BV1P7e3zgEaa,8622,3,03:38,https://www.bilibili.com/video/BV1P7e3zgEaa
"2、汇丨实验室项目","3608268410","SFExplorer:面向大规模未知环境的基于表面边界的无人机高效探索方法（IROS 2025）",BV1VntEzfET9,2230,0,02:22,https://www.bilibili.com/video/BV1VntEzfET9
"2、汇丨实验室项目","3608268410","ViPE：视频驱动的三维姿态感知引擎｜2025【NVIDIA】",BV1HZYZzvEPA,1539,0,00:22,https://www.bilibili.com/video/BV1HZYZzvEPA
"2、汇丨实验室项目","3608268410","ASAP：对齐模拟和现实世界学习敏捷的人形机器人技能｜2025【CMU】",BV1GhPCejEfG,5.4万,50,00:56,https://www.bilibili.com/video/BV1GhPCejEfG
"2、汇丨实验室项目","3608268410","浙大Fast Lab：融合3D激光雷达与强化学习的「端到端导航」，让无人机“飞”在点云上！",BV1uJtGzKEPs,7772,0,01:15,https://www.bilibili.com/video/BV1uJtGzKEPs
"2、汇丨实验室项目","3608268410","【应用分享】天津大学xTJU-AIR-LAB：YOPO-Rally部署",BV1y68yzZEsD,2312,0,03:02,https://www.bilibili.com/video/BV1y68yzZEsD
"2、汇丨实验室项目","3608268410","本组Ph.D.录取标准及Ph.D.学生培养计划和目标",BV1h142187k1,11.1万,0,13:53,https://www.bilibili.com/video/BV1h142187k1
"2、汇丨实验室项目","3608268410","浙江大学 FAST-LAB FIRE课题组 2024年度代表性研究成果｜无人机 | 履带车｜人工智能｜集群机器人自主导航",BV1BYw5eeEQy,1.5万,3,03:08,https://www.bilibili.com/video/BV1BYw5eeEQy
"2、汇丨实验室项目","3608268410","FAST-LIVO2: 高效鲁棒的激光雷达-惯性-视觉融合算法，可用于实时高精度三维重建，无人机和机器人在退化场景的机载定位。",BV1Ezxge7EEi,7.2万,336,10:07,https://www.bilibili.com/video/BV1Ezxge7EEi
"2、汇丨实验室项目","3608268410","自研:基于 LIO-SAM 魔改和优化的3D定位系统--具备长距离防定位丢失能力,应对动态变化场景",BV1zPtKekE6P,6290,0,02:01,https://www.bilibili.com/video/BV1zPtKekE6P
"2、汇丨实验室项目","3608268410","【SLAM-2024】第五届全国SLAM技术论坛-浙江大学-高飞-自主飞行集群的感知与定位",BV1ohHse5Ekn,1.5万,7,30:22,https://www.bilibili.com/video/BV1ohHse5Ekn
"2、汇丨实验室项目","3608268410","「新作预热」什么！你用主动旋转雷达十五分钟高精扫描了8层的图书馆？",BV1qXk2YGEkn,1.4万,3,01:10,https://www.bilibili.com/video/BV1qXk2YGEkn
"2、汇丨实验室项目","3608268410","DynamicPose：高速运动下的6D位姿跟踪",BV1ox91YcEPe,4125,0,02:28,https://www.bilibili.com/video/BV1ox91YcEPe
"2、汇丨实验室项目","3608268410","0碰撞！ETH提出新型时空联合优化模型：敏捷与安全的完美平衡",BV1BkPheJEMT,1557,0,04:46,https://www.bilibili.com/video/BV1BkPheJEMT
"2、汇丨实验室项目","3608268410","多层高程地图驱动的四足机器人自主安全复杂地形穿越",BV1Jy8QzuEGy,3557,0,03:49,https://www.bilibili.com/video/BV1Jy8QzuEGy
"2、汇丨实验室项目","3608268410","ICCV'25开源 | TurboReg：超高速高精度点云配准方法，让SLAM配准快200多倍！",BV1mNtmzaEKP,5001,1,31:15,https://www.bilibili.com/video/BV1mNtmzaEKP
