收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"1、进丨课程","3650644310","16-831-机器人学习",BV1RWGqzyEYh,1298,0,29:57:06,https://www.bilibili.com/video/BV1RWGqzyEYh
"1、进丨课程","3650644310","You Only Plan Once: A Learning-based One-stage Planner with Guidance Learning",BV15jo5YmETQ,2157,0,02:54,https://www.bilibili.com/video/BV15jo5YmETQ
"1、进丨课程","3650644310","[Science Robotics] 天天吹大气，实验室稳如老狗，实战狗且偷生，有本事放个野外视频啊！好的，来了老弟！",BV18W4y1F7Rd,5079,1,03:08,https://www.bilibili.com/video/BV18W4y1F7Rd
"1、进丨课程","3650644310","[Science Robotics] 轮足机器狗 Navigation and Locomotion #ScienceRobotics",BV11m421p7Yb,6193,1,02:52,https://www.bilibili.com/video/BV11m421p7Yb
"1、进丨课程","3650644310","2024 IROS QRC（四足机器人挑战赛）浙大机器人队自主导航运动",BV1muydYnE5D,5444,6,04:57,https://www.bilibili.com/video/BV1muydYnE5D
"1、进丨课程","3650644310","【ICRA2026】 MUJICA：能跳1M高台的轮足",BV1Dm5Y6JEFV,2.8万,34,02:02,https://www.bilibili.com/video/BV1Dm5Y6JEFV
"1、进丨课程","3650644310","1个策略通杀9地形+2步态！宇树Go2实测楼梯/深坑/斜坡",BV1Tttzz1EQX,1761,1,02:42,https://www.bilibili.com/video/BV1Tttzz1EQX
"1、进丨课程","3650644310","[RAL26] 基于自监督表示学习和强化学习的机器人未知环境自主导航算法",BV175ofBTEpa,2348,0,03:11,https://www.bilibili.com/video/BV175ofBTEpa
"1、进丨课程","3650644310","港大最新IJRR Memory-Efficient Boundary Map for Large-Scale Occupancy Grid Mapping",BV1sQPkzpEGk,7302,0,04:46,https://www.bilibili.com/video/BV1sQPkzpEGk
"1、进丨课程","3650644310","当重规划来不及时，四足机器人的“反射式避障”如何实现？",BV1y5rBBQEft,4247,0,03:00,https://www.bilibili.com/video/BV1y5rBBQEft
"1、进丨课程","3650644310","楼内大场景导航测试",BV1XtrTBrEcE,5877,0,04:21,https://www.bilibili.com/video/BV1XtrTBrEcE
"1、进丨课程","3650644310","通过分层适应复杂环境的鲁棒里程计 SLAM 定位导航",BV1RhBBBFEfB,754,0,03:20,https://www.bilibili.com/video/BV1RhBBBFEfB
"1、进丨课程","3650644310","【硬核开源】人形机器人野外狂奔2.5m/s！端到端视觉方案（附论文代码）",BV1ecr6BuEo1,1.2万,2,01:12,https://www.bilibili.com/video/BV1ecr6BuEo1
"1、进丨课程","3650644310","OP-Follower: 纯视觉纯机载四足机器人避障跟随(IBVS-NMPC)",BV1Z3rzBkEhB,3612,2,02:57,https://www.bilibili.com/video/BV1Z3rzBkEhB
"1、进丨课程","3650644310","EGO-Swarm: A Fully Autonomous and Decentralized Quadrotor Swarm System",BV1Nt4y1e7KD,1.1万,2,02:55,https://www.bilibili.com/video/BV1Nt4y1e7KD
"1、进丨课程","3650644310","Experiment record of the distributed pseudolinear information filtering approach",BV1cZS7B3EAh,832,0,05:58,https://www.bilibili.com/video/BV1cZS7B3EAh
"1、进丨课程","3650644310","[IJRR-2025]无人机集群相对定位3-D Multi-Robot Relative Localization",BV12Xn4zWEcM,1921,0,01:35,https://www.bilibili.com/video/BV12Xn4zWEcM
"1、进丨课程","3650644310","【TSMC2025 基于约束采样MPC的机器人无碰撞操作】仿真视频",BV1GQndzmEiU,1785,0,02:35,https://www.bilibili.com/video/BV1GQndzmEiU
"1、进丨课程","3650644310","从牛顿迭代到L-BFGS优化",BV145J1zuEPN,5100,0,08:21,https://www.bilibili.com/video/BV145J1zuEPN
"1、进丨课程","3650644310","JuggleRL: Mastering Ball Juggling with a Quadrotor via Deep Reinforcement Learni",BV1hKxDzrEw5,2551,0,08:33,https://www.bilibili.com/video/BV1hKxDzrEw5
"1、进丨课程","3650644310","拒止环境下基于集群共识的视觉引导协同搜索方案_视频",BV1BexrzhEgs,390,0,01:55,https://www.bilibili.com/video/BV1BexrzhEgs
"1、进丨课程","3650644310","开源：EGVG，基于维诺图的未知环境导航算法",BV1zCWYzvE4W,2142,0,05:36,https://www.bilibili.com/video/BV1zCWYzvE4W
"1、进丨课程","3650644310","IROS Whole-body Motion Planning for Mobile Manipulator",BV1denbz5Euy,930,0,01:57,https://www.bilibili.com/video/BV1denbz5Euy
"1、进丨课程","3650644310","Obstacle-Avoidant Leader Following with a Quadruped Robot",BV1MKjezNECf,1349,0,03:01,https://www.bilibili.com/video/BV1MKjezNECf
"1、进丨课程","3650644310","FLARE: Fast Large-scale Autonomous Exploration Guided by Unknown Regions",BV1nUHPzQEgT,2229,0,03:35,https://www.bilibili.com/video/BV1nUHPzQEgT
"1、进丨课程","3650644310","[IROS 2025] 移动机械臂的自主目标搜寻框架",BV1XvnPzqE6G,1241,0,02:59,https://www.bilibili.com/video/BV1XvnPzqE6G
"1、进丨课程","3650644310","RENet: 一种基于冗余估计器的四足机器人视觉容错跑酷框架 (RAL 2025)",BV19LHezdEB1,4340,0,02:44,https://www.bilibili.com/video/BV19LHezdEB1
"1、进丨课程","3650644310","[机器人2025]面向地面机器人的通用鲁棒激光SLAM技术",BV1B1V2zLELt,2341,0,05:08,https://www.bilibili.com/video/BV1B1V2zLELt
"1、进丨课程","3650644310","[Demo]一种用于通用场景识别的弯曲体素关联的三角描述子",BV1ckYLz1EKC,1390,0,01:13,https://www.bilibili.com/video/BV1ckYLz1EKC
"1、进丨课程","3650644310","已失效视频",BV1GmhQzcEEQ,,,,https://www.bilibili.com/video/BV1GmhQzcEEQ
"1、进丨课程","3650644310","ROBOMASTER2023-2024 机甲大师高校人工智能挑战赛·精英赛 | 冠军 | Turtle战队 | 完赛视频 | 系统方案 | 算法原理",BV1gz421m7gY,2.0万,5,01:32,https://www.bilibili.com/video/BV1gz421m7gY
"1、进丨课程","3650644310","[RA-L 2026]AeroThrow: An Autonomous Aerial Throwing System for Precise Payload",BV1JLvwzCEgs,3820,0,03:00,https://www.bilibili.com/video/BV1JLvwzCEgs
"1、进丨课程","3650644310","（开源）FUEL复现-无人机自主探索未知空间",BV11ktnzpEt6,1920,0,01:05,https://www.bilibili.com/video/BV11ktnzpEt6
"1、进丨课程","3650644310","[无领航者无人机编队控制] Leadearless Formation Control for UAV Swarms",BV17stBzZEHf,2757,1,03:12,https://www.bilibili.com/video/BV17stBzZEHf
"1、进丨课程","3650644310","A2RL X DCL 自主无人机竞速全球挑战赛-阿布扎比-中科大自主智能系统实验室",BV12jLCzsEr3,1397,0,00:39,https://www.bilibili.com/video/BV12jLCzsEr3
"1、进丨课程","3650644310","港大最新Nature Communications 在茂密植被中执行边坡检查的激光雷达无人机",BV1P7e3zgEaa,8622,3,03:38,https://www.bilibili.com/video/BV1P7e3zgEaa
"1、进丨课程","3650644310","SFExplorer:面向大规模未知环境的基于表面边界的无人机高效探索方法（IROS 2025）",BV1VntEzfET9,2230,0,02:22,https://www.bilibili.com/video/BV1VntEzfET9
"1、进丨课程","3650644310","ViPE：视频驱动的三维姿态感知引擎｜2025【NVIDIA】",BV1HZYZzvEPA,1539,0,00:22,https://www.bilibili.com/video/BV1HZYZzvEPA
"1、进丨课程","3650644310","ASAP：对齐模拟和现实世界学习敏捷的人形机器人技能｜2025【CMU】",BV1GhPCejEfG,5.4万,50,00:56,https://www.bilibili.com/video/BV1GhPCejEfG
"1、进丨课程","3650644310","浙大Fast Lab：融合3D激光雷达与强化学习的「端到端导航」，让无人机“飞”在点云上！",BV1uJtGzKEPs,7772,0,01:15,https://www.bilibili.com/video/BV1uJtGzKEPs
"1、进丨课程","3650644310","【应用分享】天津大学xTJU-AIR-LAB：YOPO-Rally部署",BV1y68yzZEsD,2312,0,03:02,https://www.bilibili.com/video/BV1y68yzZEsD
